OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_CDC_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Test_Encounters,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
11,Moffat County,08081,Moffat,08,MOFFAT,081,626,13252,4723.82,625,1,22,22,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",1.30950090392707,5.03264724477475
12,Jefferson County,08059,Jefferson,08,JEFFERSON,059,34827,583081,5972.93,34737,90,682,684,-2,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.210187679847877,2.86344185299337
13,Summit County,08117,Summit,08,SUMMIT,117,2702,30983,8720.91,2684,18,5,5,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.168272135535972,2.59953699733241
14,Pueblo County,08101,Pueblo,08,PUEBLO,101,14381,168110,8554.52,14353,28,359,355,4,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.638492791357976,3.43119645764386
15,Boulder County,08013,Boulder,08,BOULDER,013,17369,327164,5308.96,17298,71,215,213,2,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.202534731038213,2.38337519766668
16,Denver County,08031,Denver,08,DENVER,031,56051,729239,7686.23,55910,141,742,740,2,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.0421858562244779,2.74534829005677
17,Montrose County,08085,Montrose,08,MONTROSE,085,3046,42765,7122.65,3030,16,45,45,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.599092173290956,4.59010271530844
18,Eagle County,08037,Eagle,08,EAGLE,037,4479,55070,8133.28,4427,52,17,17,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.459671486366005,3.15805055528872
19,San Miguel County,08113,San Miguel,08,SAN MIGUEL,113,684,8174,8368,684,0,,,,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.34238906379619,3.44955895760726
20,Costilla County,08023,Costilla,08,COSTILLA,023,179,3872,4622.93,178,1,2,2,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.323925261744535,2.63276788664489
21,Broomfield County,08014,Broomfield,08,BROOMFIELD,014,3446,70762,4869.85,3435,11,71,70,1,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.00915797640027449,1.17463684380326
22,Chaffee County,08015,Chaffee,08,CHAFFEE,015,1326,20361,6512.45,1323,3,23,23,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.272389218158423,3.12582249110702
23,Crowley County,08025,Crowley,08,CROWLEY,025,1817,6032,30122.68,1816,1,14,14,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.213559245320994,1.95538842532836
24,Fremont County,08043,Fremont,08,FREMONT,043,5191,47645,10895.16,5183,8,37,37,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.410131013649561,3.08744487725261
25,Huerfano County,08055,Huerfano,08,HUERFANO,055,293,6854,4274.88,293,0,17,17,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.421501116506988,3.86938754513048
26,Delta County,08029,Delta,08,DELTA,029,2357,31173,7561.03,2343,14,55,56,-1,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.308746291500029,2.74902209908906
27,Garfield County,08045,Garfield,08,GARFIELD,045,4851,60168,8062.43,4840,11,37,37,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.802786983200804,5.50838968438734
28,Rio Blanco County,08103,Rio Blanco,08,RIO BLANCO,103,405,6307,6421.44,401,4,3,3,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.880092618354411,5.18126958764129
29,Morgan County,08087,Morgan,08,MORGAN,087,2370,28984,8176.93,2367,3,89,89,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.354778438383164,2.4152700222455
30,Lincoln County,08073,Lincoln,08,LINCOLN,073,956,5692,16795.5,956,0,3,3,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.696476992948874,3.90098185833429
31,Montezuma County,08083,Montezuma,08,MONTEZUMA,083,1639,26160,6265.29,1637,2,22,22,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.537190899236975,3.2924330468367
32,Adams County,08001,Adams,08,ADAMS,001,45982,517885,8878.81,45871,111,590,589,1,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.322672523779602,4.3210831973844
33,Mineral County,08079,Mineral,08,MINERAL,079,61,764,7984.29,61,0,1,1,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.232168624270344,2.04506683988138
34,Otero County,08089,Otero,08,OTERO,089,1790,18281,9791.59,1789,1,60,59,1,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.336877498493777,2.65281032058161
35,Phillips County,08095,Phillips,08,PHILLIPS,095,325,4278,7597.01,325,0,11,11,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.189577963613374,1.84809838653474
36,Ouray County,08091,Ouray,08,OURAY,091,213,4934,4316.98,211,2,3,3,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.144347976659674,2.22546024391623
37,Bent County,08011,Bent,08,BENT,011,1291,5798,22266.3,1291,0,20,20,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.409167926002738,2.57239140514481
38,Archuleta County,08007,Archuleta,08,ARCHULETA,007,609,14002,4349.38,607,2,1,1,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.356264414261886,2.77748645536479
39,Routt County,08107,Routt,08,ROUTT,107,1659,25652,6467.33,1646,13,19,19,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.651459520021035,4.10509579084708
40,Hinsdale County,08053,Hinsdale,08,HINSDALE,053,15,819,1831.5,16,-1,,,,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.29767108910778,2.84695016312372
41,Weld County,08123,Weld,08,WELD,123,23841,323763,7363.72,23779,62,309,307,2,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",1.10610954447702,5.09979297775078
42,Larimer County,08069,Larimer,08,LARIMER,069,18246,356938,5111.81,18160,86,199,198,1,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.726530757031469,3.89982681544696
43,Lake County,08065,Lake,08,LAKE,065,565,8081,6991.71,541,24,,,,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.103687200717559,1.72745358078377
44,Rio Grande County,08105,Rio Grande,08,RIO GRANDE,105,640,11238,5694.96,626,14,10,10,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.241033137835757,2.21073822643431
45,Gilpin County,08047,Gilpin,08,GILPIN,047,149,6215,2397.43,150,-1,3,3,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.0409605716740771,0.973252095597924
46,Yuma County,08125,Yuma,08,YUMA,125,670,10063,6658.05,663,7,16,16,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.647060268172481,3.24382405750967
47,Jackson County,08057,Jackson,08,JACKSON,057,45,1383,3253.8,45,0,,,,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.447106418412659,3.77163984101511
48,Kit Carson County,08063,Kit Carson,08,KIT CARSON,063,508,7128,7126.82,507,1,10,10,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.584674359648034,3.28545636703058
49,Clear Creek County,08019,Clear Creek,08,CLEAR CREEK,019,346,9740,3552.36,345,1,2,2,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.107815475126699,1.7200936574538
50,Logan County,08075,Logan,08,LOGAN,075,3644,21914,16628.64,3633,11,60,60,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.509315868637259,2.98709243190606
51,Washington County,08121,Washington,08,WASHINGTON,121,364,4742,7676.09,363,1,12,12,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.689156198508726,3.59641099493637
52,Douglas County,08035,Douglas,08,DOUGLAS,035,19205,351528,5463.29,19096,109,218,219,-1,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.228049517556883,2.24626729887819
53,Conejos County,08021,Conejos,08,CONEJOS,021,410,8161,5023.89,407,3,4,4,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.339368543220644,2.79157037289597
54,El Paso County,08041,El Paso,08,EL PASO,041,48056,722493,6651.41,47933,123,706,705,1,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.57220360663473,3.26110555570835
55,Kiowa County,08061,Kiowa,08,KIOWA,061,89,1395,6379.93,89,0,3,3,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.477252055292865,3.61712328220314
56,Teller County,08119,Teller,08,TELLER,119,1187,25355,4681.52,1185,2,14,14,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.150289940799894,1.82234496665049
57,Gunnison County,08051,Gunnison,08,GUNNISON,051,1069,17495,6110.32,1061,8,6,6,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.873850227878847,5.3534077502362
58,Baca County,08009,Baca,08,BACA,009,267,3556,7508.44,265,2,3,3,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.673306733663821,3.38201391171949
59,Elbert County,08039,Elbert,08,ELBERT,039,1164,26686,4361.84,1161,3,12,12,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.500512699317142,3.29599722898002
60,Mesa County,08077,Mesa,08,MESA,077,12302,154933,7940.21,12254,48,174,173,1,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.900045880504877,5.03656160808276
61,Dolores County,08033,Dolores,08,DOLORES,033,62,2037,3043.69,62,0,,,,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.282849017190074,3.16637669425976
62,Arapahoe County,08005,Arapahoe,08,ARAPAHOE,005,45359,656822,6905.83,45243,116,617,615,2,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.218915734368238,3.71431429249478
63,Las Animas County,08071,Las Animas,08,LAS ANIMAS,071,918,14493,6334.09,918,0,11,11,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",1.25727666851049,5.53775154815317
64,Grand County,08049,Grand,08,GRAND,049,1005,15718,6393.94,979,26,5,5,0,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",0.511446195800545,4.13096504799278
65,OUT OF STATE,,OUT OF STATE,08,OUT OF STATE,,,,,,,,,,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",,
66,UNKNOWN,,UNKNOWN,08,UNKNOWN,,,,,,,,,,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",,
67,INTERNATIONAL,,INTERNATIONAL,08,INTERNATIONAL,,40,,,39,1,,,,399267,5763976,6926.94,5664,5390,22117,2417653,5514198,64,3577,Colorado Department of Public Health and Environment,"Data through February 2, 2021",,
